mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logreg__regularization,param_logreg__tol,param_pca__n_components,param_win_selector__win_size,param_logreg__lam,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.39995360374450684,0.013373417340952487,0.004872846603393555,0.00014491585681616984,,0.0001,20,1024,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 20, 'win_selector__win_size': 1024}",0.7555555555555555,0.6666666666666666,0.7555555555555555,0.7444444444444445,0.6333333333333333,0.711111111111111,0.051159397480983734,180
0.40084133148193357,0.016237381509855545,0.005017280578613281,0.0003516097102280632,,0.0001,20,2048,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 20, 'win_selector__win_size': 2048}",0.7222222222222222,0.6111111111111112,0.7111111111111111,0.7111111111111111,0.6222222222222222,0.6755555555555557,0.04838120234906052,250
0.3922673225402832,0.015820901919196932,0.004788970947265625,0.00011613012407044695,,0.0001,20,4096,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 20, 'win_selector__win_size': 4096}",0.7222222222222222,0.6555555555555556,0.6888888888888889,0.7222222222222222,0.6111111111111112,0.6799999999999999,0.04239729784075312,240
0.5330992698669433,0.11563813804375195,0.00774998664855957,0.0031258407176731795,,0.0001,20,8192,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 20, 'win_selector__win_size': 8192}",0.7333333333333333,0.6,0.6111111111111112,0.6444444444444445,0.5333333333333333,0.6244444444444445,0.06531972647421808,296
0.34930620193481443,0.08717188167353626,0.011206293106079101,0.0028213505900634268,,0.0001,20,all,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 20, 'win_selector__win_size': 'all'}",0.7555555555555555,0.6222222222222222,0.7,0.7,0.6222222222222222,0.6799999999999999,0.05135208892573929,240
0.912627124786377,0.1158047985701605,0.009209203720092773,0.0030150846848940086,,0.0001,0.8,1024,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 0.8, 'win_selector__win_size': 1024}",0.8,0.7444444444444445,0.7888888888888889,0.7333333333333333,0.7111111111111111,0.7555555555555556,0.03370166864022912,94
0.9889397144317627,0.2956138655799033,0.010003948211669922,0.0020027243670791006,,0.0001,0.8,2048,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 0.8, 'win_selector__win_size': 2048}",0.8,0.6888888888888889,0.8111111111111111,0.7333333333333333,0.6666666666666666,0.74,0.0577777777777778,132
0.7918964862823487,0.008369687814960324,0.00940251350402832,0.0020741428428448635,,0.0001,0.8,4096,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 0.8, 'win_selector__win_size': 4096}",0.8111111111111111,0.7333333333333333,0.7888888888888889,0.7555555555555555,0.7,0.7577777777777778,0.039377878103709685,90
0.7858705520629883,0.03700600560360009,0.009488534927368165,0.0030428744917830003,,0.0001,0.8,8192,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 0.8, 'win_selector__win_size': 8192}",0.7888888888888889,0.6777777777777778,0.7333333333333333,0.7333333333333333,0.6444444444444445,0.7155555555555556,0.049987652796453265,173
1.2751128673553467,0.17055088538516022,0.015317821502685547,0.0031053401007314642,,0.0001,0.8,all,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 0.8, 'win_selector__win_size': 'all'}",0.8333333333333334,0.7444444444444445,0.7666666666666667,0.7111111111111111,0.6777777777777778,0.7466666666666667,0.052774853720168526,116
1.2754302024841309,0.27434267737641566,0.009693002700805664,0.001565936549714034,,0.0001,0.9,1024,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 0.9, 'win_selector__win_size': 1024}",0.8111111111111111,0.7777777777777778,0.7888888888888889,0.8,0.7333333333333333,0.7822222222222223,0.026851213274654628,34
1.4967921257019043,0.25977190084033197,0.012115955352783203,0.00583278915201786,,0.0001,0.9,2048,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 0.9, 'win_selector__win_size': 2048}",0.8,0.7444444444444445,0.8,0.7444444444444445,0.6888888888888889,0.7555555555555555,0.041573970964154924,95
1.770377779006958,0.3364541016720551,0.0185147762298584,0.0071262853566075104,,0.0001,0.9,4096,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 0.9, 'win_selector__win_size': 4096}",0.8444444444444444,0.7888888888888889,0.7888888888888889,0.7777777777777778,0.6777777777777778,0.7755555555555554,0.054160256030906385,50
1.4234322547912597,0.33526685047119203,0.010237026214599609,0.002739200588289085,,0.0001,0.9,8192,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 0.9, 'win_selector__win_size': 8192}",0.8444444444444444,0.7222222222222222,0.7555555555555555,0.7555555555555555,0.6888888888888889,0.7533333333333333,0.051830683509736006,100
1.5656393051147461,0.15141314733286698,0.015622568130493165,0.004363678839837235,,0.0001,0.9,all,,"{'logreg__regularization': None, 'logreg__tol': 0.0001, 'pca__n_components': 0.9, 'win_selector__win_size': 'all'}",0.8111111111111111,0.8111111111111111,0.7777777777777778,0.7777777777777778,0.6888888888888889,0.7733333333333332,0.044776537065799746,54
